anfrage,wunsch_anonymisierung,wunsch_klassifizierung,wunsch_fragen,wunschantwort,generierte_frage_0,kontext_frage_0,generierte_frage_1,kontext_frage_1,generierte_frage_2,kontext_frage_2,generierte_frage_3,kontext_frage_3,generierte_frage_4,kontext_frage_4,generierte_frage_5,kontext_frage_5,generierte_frage_6,kontext_frage_6,generierte_frage_7,kontext_frage_7,anonymisierter_user_input,klassifizierung,form_query_token_usage,generate_token_usage,generierte_antwort
Ich möchte eine gelbe Tonne bestellen. Britta Rossow Glasapfelweg 8 13127 Berlin - in KGA Gravenstein Ecke Straße 76 bitte stellen Danke,"Adresse, Name",complex_query_customer_support,,,,,,,,,,,,,,,,,,,Ich möchte eine gelbe Tonne bestellen. <ANONYMIZED_PERSON> 8 13127 <ANONYMIZED_LOCATION> - in KGA <ANONYMIZED_LOCATION_2> 76 bitte stellen Danke,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo zusammen, ich möchte hiermit anfragen welchen Container ich benötige? Es handelt sich um Getränke die abgelaufen sind. Die Getränke sind in Einweg Glas gefüllt und abgelaufen. Der Inhalt ist unterschiedlich.  Anbei finden Sie auch ein paar Bilder. Auf freue mich auf Ihre Rückmeldung. Viele Grüße",,waste_disposal_guidance,Wie entsorge ich Getränke in Glasflaschen.,In den Container Lebensmittel dürfen nur unverpackte Lebensmittel.,,,,,,,,,,,,,,,,,"Hallo zusammen, ich möchte hiermit anfragen welchen Container ich benötige? Es handelt sich um Getränke die abgelaufen sind. Die Getränke sind in Einweg Glas gefüllt und abgelaufen. Der Inhalt ist unterschiedlich.  Anbei finden Sie auch ein paar Bilder. Auf freue mich auf Ihre Rückmeldung. Viele Grüße",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Auf Grund einer Neueröffung einer Filiale von uns, können wir nicht genau sagen wie viel Kartonage anfallen wird im Laufe der Geschäftszeit. Ist es möglich die Menge und / oder Größe der bestellten Behälter innerhalb des Vertrages zu ändern?",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Auf Grund einer Neueröffung einer Filiale von uns, können wir nicht genau sagen wie viel Kartonage anfallen wird im Laufe der Geschäftszeit. Ist es möglich die Menge und / oder Größe der bestellten Behälter innerhalb des Vertrages zu ändern?",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
bitte für cosmarweg 82 in 13591 Berlin Plastikabfall Gelbe Tonne,Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,bitte für <ANONYMIZED_LOCATION> 82 in 13591 Berlin Plastikabfall Gelbe Tonne,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, Ich habe folgendes Anliegen. Bis Ende des Jahres sollen an angegebener PLZ rund 800 Matratzen entsorgt werden. Dieses Wird sich im Zeitraum von 6 Monaten auf 4 Termine verteilt abspielen. Wir benötigen pro Termin ca. 3 Container in der Größe 40m3. Diese 3 Container werden eine geschätzte Standzeit von 3 Tagen haben. Zusätzlich zu jedem Termin benötigen wir noch einen 20m3 Container für reine Folienabfälle. Könnten Sie mir bitte Ihre Konditionen an unten eingetragene Mail Adresse zukommen lassen? Wichtige Informationen dier Ich von Ihnen benötigen: - Tonnenpreis für die Entsorgung - Preise für Hol/Bringservice+Preise für Standtage -Verrechnungsvergütung für Folie Freundliche Grüße",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Guten Tag, Ich habe folgendes Anliegen. Bis Ende des Jahres sollen an angegebener PLZ rund 800 Matratzen entsorgt werden. Dieses Wird sich im Zeitraum von 6 Monaten auf 4 Termine verteilt abspielen. Wir benötigen pro Termin ca. 3 Container in der Größe 40m3. Diese 3 Container werden eine geschätzte Standzeit von 3 Tagen haben. Zusätzlich zu jedem Termin benötigen wir noch einen 20m3 Container für reine Folienabfälle. Könnten Sie mir bitte Ihre Konditionen an unten eingetragene Mail Adresse zukommen lassen? Wichtige Informationen dier Ich von Ihnen benötigen: - Tonnenpreis für die Entsorgung - Preise für Hol/Bringservice+Preise für Standtage -Verrechnungsvergütung für Folie Freundliche Grüße",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, Ich möchte einen baumisch Container 20m3 Und einen Bauschutt Container 10m3. Können diese ggf zusammen gebracht/geholt werden um Kosten zu sparen? Oder welche Containergrößen sind kombinierbar? Mit freundlichen",,internal_faq,Können mehrere Container zusammen abgeholt werden,Dazu gibt es keine Antwort in den Dokumenten.,,,,,,,,,,,,,,,,,"Guten Tag, Ich möchte einen baumisch Container 20m3 Und einen Bauschutt Container 10m3. Können diese ggf zusammen gebracht/geholt werden um Kosten zu sparen? Oder welche Containergrößen sind kombinierbar? Mit freundlichen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Ich suche eine Grubenentleerung. Macht ihr das auch?,,complex_query_customer_support,,,,,,,,,,,,,,,,,,,Ich suche eine Grubenentleerung. Macht ihr das auch?,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo Alba Team, ich möchte unseren Natursteinbelag und Estrich rausreissen und in einem Container von Ihnen entsorgen lassen. Ich weiss noch nicht genau wie viel Menge es sein wird aber rechnerisch komme ich auf folgende Werte: Naturstein (Marmor): 0,92m3 --> 1,7Tonnen Estrich: 2,77m3 --> 8 Tonnen Beides ist Bauschutt? Können Sie mir dazu ein Angebot machen, wenn der Container max. 7 Tage bei mir steht (Zeppelinstr. 305/2, 88048 Friedrichshafen). Wird es dann nach dem wiegen verrechnet? Wie lange dauert es ab Buchung bis der Container Vorort steht? Ist das schnell möglich? Sind die Online Preise im Vergleich fix Preise oder wird hier auch das Gewicht verrechnet? Bsp. 7m3 Container kostet knapp 540€. VG,",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo Alba Team, ich möchte unseren Natursteinbelag und Estrich rausreissen und in einem Container von Ihnen entsorgen lassen. Ich weiss noch nicht genau wie viel Menge es sein wird aber rechnerisch komme ich auf folgende Werte: Naturstein (Marmor): 0,92m3 --> 1,7Tonnen Estrich: 2,77m3 --> 8 Tonnen Beides ist Bauschutt? Können Sie mir dazu ein Angebot machen, wenn der Container max. 7 Tage bei mir steht (Zeppelinstr. 305/2, 88048 <ANONYMIZED_LOCATION>). Wird es dann nach dem wiegen verrechnet? Wie lange dauert es ab Buchung bis der Container Vorort steht? Ist das schnell möglich? Sind die Online Preise im Vergleich fix Preise oder wird hier auch das Gewicht verrechnet? Bsp. 7m3 Container kostet knapp 540€. VG,",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Zu entsorgen wären Spanplatten - ca. 1000 kg,,waste_disposal_guidance,Wo kann ich Spanplatten entsorgen?,Spanplatten können im Container Holz A4 oder Holz A1-A3 entsorgt werden,,,,,,,,,,,,,,,,,Zu entsorgen wären Spanplatten - ca. 1000 kg,waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Hallo und guten Tag. Wir haben auf der Internetseite leider keine passende Antwort zur Größe der Container gefunden. Welche gibt es?,,internal_faq,Welche Containergrößen gibt es?,Es gibt verschiedene Containergrößen und diese variieren je anch Abfallart und Postleitzahl.,,,,,,,,,,,,,,,,,Hallo und guten Tag. Wir haben auf der Internetseite leider keine passende Antwort zur Größe der Container gefunden. Welche gibt es?,internal_faq,"input: 0, output: 0","input: 0, output: 0",Wir bieten eine Vielzahl an Containergrößen an. Die Containergrößen können je nach Abfallart und Postleitzahl variieren.
"Hallo, Wir fangen an unser Haus zu sanieren hierzu benötigen wir einen Container zur Entsorgung von, Zimmertüren(Holz mit Glas), Bodenbeläge(Parkett, Teppich),Tapete. Das Haus hat 180qm². Welche Containergröße wird hier erfahrungsgemäß benötigt ? Wir konnten Online nur Preise für offene Container finden. Wie sind die Kosten für, Container zum Abschließen?",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, Wir fangen an unser Haus zu sanieren hierzu benötigen wir einen Container zur Entsorgung von, Zimmertüren(Holz mit Glas), Bodenbeläge(Parkett, Teppich),Tapete. Das Haus hat 180qm². Welche Containergröße wird hier erfahrungsgemäß benötigt ? Wir konnten Online nur Preise für offene Container finden. Wie sind die Kosten für, Container zum Abschließen?",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, ich habe bei Ihnen am 24.06.2024 (m.hartwig@gmx.net) einen Altholz A IV Container angemietet. Nun habe ich Schieferplatten in der Decke entdeckt. (siehe Bild). Kann ich diese Schieferplatten in diesen bereits angemieteten Container mit entsorgen oder können diese bei einer Anmietung eines Bauschuttcontainers entsorgt werden? Des Weiteren stellt sich mit die Frage, ob ich in den Bauschuttcontainer auch Estrich entsorgen kann. Vielen Dank für Ihre Rückmeldung. Mit freundlichem Gruß",email,waste_disposal_guidance,Können Schieferplatten in Altholz A4 entsorgt werden? Können Schieferplatten in Bauschutt entsorgt werden? Kann Estrich im Bauschuttcontainer entsorgt werden?,"Schieferplatten dürfen nicht im Holz Container entsorgt werden, stattdessen können diese mit Estrich zusammen im Bauschutt Container entsorgt werden.",,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, ich habe bei Ihnen am 24.06.2024 (<ANONYMIZED_MAIL>) einen Altholz A IV Container angemietet. Nun habe ich Schieferplatten in der Decke entdeckt. (siehe Bild). Kann ich diese Schieferplatten in diesen bereits angemieteten Container mit entsorgen oder können diese bei einer Anmietung eines <ANONYMIZED_LOCATION>s entsorgt werden? Des Weiteren stellt sich mit die Frage, ob ich in den <ANONYMIZED_LOCATION> auch Estrich entsorgen kann. Vielen Dank für Ihre Rückmeldung. Mit freundlichem Gruß",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Schieferplatten dürfen nicht in einen Altholz A IV Container entsorgt werden. Es ist unklar, ob sie in einem <ANONYMIZED_LOCATION> entsorgt werden können, daher sollte dies direkt mit dem Anbieter geklärt werden. Estrich kann in einem <ANONYMIZED_LOCATION> entsorgt werden, wenn er zur Fraktion Bauschutt gehört und keine nicht-mineralischen Bestandteile enthält."
"Hallo, Ich habe Estrich und fliesen zum entsorgen. Ist das Bauschutt?",,waste_disposal_guidance,Kann Estrich im Bauschutt entsorgt werden. Können Fliesen im Bauschutt entsorgt werden?,"Ja, Fliesen und Estrich können im Bauschutt entsorgt werden.",,,,,,,,,,,,,,,,,"Hallo, Ich habe Estrich und fliesen zum entsorgen. Ist das Bauschutt?",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Ja, Estrich und Fliesen zählen als Bauschutt und können entsprechend entsorgt werden."
"Sehr geehrte Damen und Herren, was würde es mich kosten einen 7 Kubikcontainer mit Gipsresten entsorgen zu lassen. Das Ganze ist privat.",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, was würde es mich kosten einen 7 <ANONYMIZED_LOCATION> mit Gipsresten entsorgen zu lassen. Das Ganze ist privat.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, uns würde gerne interessieren was es kosten würde 5x Papptonnen 1x Wertstofftonne sowie 1x Hausmülltonne in der Größe 1m³ zustellen und wöchentlich alle zu leeren.",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, uns würde gerne interessieren was es kosten würde 5x Papptonnen 1x Wertstofftonne sowie 1x Hausmülltonne in der Größe 1m³ zustellen und wöchentlich alle zu leeren.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Es geht hier um den Austausch Gelber Sack gegen Gelbe Tonne Mein Grundstück wurde leider beim Umtausch vergessen, bitte daher um Nachlieferung einer 120 Liter Gelbe-Tonne 13129 Berlin Oberonstr. 13A",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Es geht hier um den Austausch Gelber Sack gegen Gelbe Tonne Mein Grundstück wurde leider beim Umtausch vergessen, bitte daher um Nachlieferung einer 120 Liter Gelbe-Tonne 13129 <ANONYMIZED_LOCATION> Oberonstr. 13A",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, wir sind neu in Kurpromenade 46 in 14089 eingezogen und haben keinen Container für gelbe Säcke bekommen. Die Nachbarn berichteten, dass diese Container allen Haushalten vor einigen Monaten ausgeliefert wurden. Bitte nehmen Sie Kontakt mit uns auf, damit wir einen Termin vereinbaren können bzw. nähere Informationen erhalten können. Vielen Dank für Ihre Mühe und herzliche Grüße! Familie",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, wir sind neu in <ANONYMIZED_LOCATION> 46 in 14089 eingezogen und haben keinen Container für gelbe Säcke bekommen. Die Nachbarn berichteten, dass diese Container allen Haushalten vor einigen Monaten ausgeliefert wurden. Bitte nehmen Sie Kontakt mit uns auf, damit wir einen Termin vereinbaren können bzw. nähere Informationen erhalten können. Vielen Dank für Ihre Mühe und herzliche Grüße! Familie",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, Würden sie mir bitte ein Angebot machen für einen Absetzcontainer ca. 7m³ Es müssen folgende Abfälle entsorgt werden: -Sauerkrautplatten mit und ohne Styroporkern, -Holzplatten aus Innenverkleidung, -Laminat, -Linoleum, -Lehm/ Strohgemisch aus Dachdämmung, -Gipsplatten mit Tapetenresten -Bimshohlblocksteine Mietzeitraum ca. 2-3 Wochen, wenn möglich mit einer Bauschuttrutsche. Es gibt eine befestigte Anlieferfläche von von ca. 15m x 3,5m Vielen Dank und schöne Grüße",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, Würden sie mir bitte ein Angebot machen für einen Absetzcontainer ca. 7m³ Es müssen folgende Abfälle entsorgt werden: -Sauerkrautplatten mit und ohne Styroporkern, -Holzplatten aus Innenverkleidung, -Laminat, -Linoleum, -Lehm/ Strohgemisch aus Dachdämmung, -Gipsplatten mit <ANONYMIZED_LOCATION> Mietzeitraum ca. 2-3 Wochen, wenn möglich mit einer <ANONYMIZED_LOCATION_2>. Es gibt eine befestigte <ANONYMIZED_LOCATION_3> von von ca. 15m x 3,5m Vielen Dank und schöne Grüße",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag wir benötigen einen Sperrmüllcontainer ca 7m3. Wir haben einen privaten Parkplatz von ca 12x22metern der von einer normalen Straße aus zu erreichen ist. Ihre Stellplatzinformationen haben uns nun aber verunsichert ob dieser Container bei uns abgestellt werden kann. Es wäre nett wenn Sie sich dazu einmal bei uns zurück melden könnten. Wie oft? einmalig Welche Größe? Absetzcontainer 7m³ Stelldatum wahrscheinlich zwischen dem 3.7 bis 12.7 Handynummer 01722550735 oder 01723817418 mit freundlichen Grüßen,",Telefonnummer,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Guten Tag wir benötigen einen <ANONYMIZED_LOCATION> ca 7m3. Wir haben einen privaten Parkplatz von ca 12x22metern der von einer normalen Straße aus zu erreichen ist. Ihre Stellplatzinformationen haben uns nun aber verunsichert ob dieser Container bei uns abgestellt werden kann. Es wäre nett wenn Sie sich dazu einmal bei uns zurück melden könnten. Wie oft? einmalig Welche Größe? Absetzcontainer 7m³ Stelldatum wahrscheinlich zwischen dem 3.7 bis 12.7 Handynummer <ANONYMIZED_PHONE> oder <ANONYMIZED_PHONE_2> mit freundlichen Grüßen,",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Ausräumen eines Messi-Hauses,,complex_query_customer_support,Weiterleiten an ALBA,"Frage muss durch ALBA bearbeitet werden. Kann darum direkt ""durchgeschleust"" werden.",,,,,,,,,,,,,,,,,Ausräumen eines Messi-Hauses,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"2-3m³ Mauerwerk, 1m³ Beton, 80m² Parkett, 60m² Laminat",,waste_disposal_guidance,Wo wird Mauerwerkt ensorgt. Wo wird Beton entsorgt. Wo wird Parkett ensorgt. Wo wird Laminat entsorgt.,"Mauerwerk, Beton und Parkett können in Baumischabfall entsorgt werden. Laminat gehört in den Sperrmüll.",,,,,,,,,,,,,,,,,"2-3m³ Mauerwerk, 1m³ Beton, 80m² Parkett, 60m² Laminat",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Mauerwerk und Beton können in der Fraktion Bauschutt entsorgt werden. Parkett wird in der Fraktion Holz A1 - A3 entsorgt, sofern es keine schädlichen Verunreinigungen enthält, andernfalls könnte es zur Fraktion Holz A4 gehören. Laminat wird in der Fraktion Holz A1 - A3 entsorgt, da es als beschichtetes Altholz klassifiziert ist."
"Hallo, brauche für mein Gewerbehof einen Container 2 m³ Bau-Misch mit Deckel, der circa alle 4-6 Wochen geleert wird. Bitte um Angebot. Mit freundlichen Grüßen",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, brauche für mein Gewerbehof einen Container 2 m³ Bau-Misch mit Deckel, der circa alle 4-6 Wochen geleert wird. Bitte um Angebot. Mit freundlichen Grüßen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Sehr geehrte Damen und Herren, wir sind eine Eismanufaktur in Niederschöneweide und arbeiten von März-Oktober, also in dieser Zeit ist der Laden geöffnet und wir haben relativ viel Pappe. Von November-Februar ist der Laden geschlossen und es fällt demnach auch keine Pappe an. Wir bräuchten eine 1100l Tonne mit Kette und Schloss. Können Sie uns dazu ein Angebot machen? Vielen Dank. Mit freundlichen Grüßen",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Sehr geehrte Damen und Herren, wir sind eine Eismanufaktur in <ANONYMIZED_LOCATION> und arbeiten von März-Oktober, also in dieser Zeit ist der Laden geöffnet und wir haben relativ viel Pappe. Von <ANONYMIZED_LOCATION_2> ist der Laden geschlossen und es fällt demnach auch keine Pappe an. Wir bräuchten eine 1100l Tonne mit Kette und Schloss. Können Sie uns dazu ein Angebot machen? Vielen Dank. Mit freundlichen Grüßen",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo liebes Alba-Team, wir sind eine neue Kita in Moabit (Lehrter Straße 54, 10557 Berlin) und benötigen Mülltonnen. Wir brauchen Pappe-, Plastik-, Gewerbe- und Biomülltonnen, die alle 4 Wochen abgeholt werden. Wie viel würde das kosten? Liebe Grüße i.V.",Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo liebes Alba-Team, wir sind eine neue Kita in <ANONYMIZED_LOCATION> (<ANONYMIZED_LOCATION_2> 54, 10557 <ANONYMIZED_LOCATION_3>) und benötigen Mülltonnen. Wir brauchen Pappe-, Plastik-, Gewerbe- und Biomülltonnen, die alle 4 Wochen abgeholt werden. Wie viel würde das kosten? Liebe Grüße i.V.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, wieso ist ist Ihre Unternehmensfarbe blau? Grüße",,irrelevant_or_smalltalk,,,,,,,,,,,,,,,,,,,"Hallo, wieso ist ist Ihre Unternehmensfarbe blau? Grüße",irrelevant_or_smalltalk,"input: 0, output: 0","input: 0, output: 0","Ich weiß nicht, warum die Unternehmensfarbe blau ist."
"Hi, ich brauche eine regelmäßige Entleerung von einem Pappcontainer. Bieten Sie sowas auch an? Ravenestr. 8 in 13543 Berlin. Grüße von Manni Boxter","Adresse, Name",internal_faq,Ist eine regelmäßige Entleerung eines Papiercontainers möglich?,"Ja, für Pappe|Papier bieten wir eine regelmäßige Entsorgung an.",,,,,,,,,,,,,,,,,"Hi, ich brauche eine regelmäßige Entleerung von einem Pappcontainer. Bieten Sie sowas auch an? <ANONYMIZED_LOCATION>. 8 in 13543 <ANONYMIZED_LOCATION_2>. Grüße von <ANONYMIZED_PERSON>",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Habt ihr auch Rollcontainer? Was für einen Untergrund brauchtr man da?,,internal_faq,Gibt es auch Rollcontainer? Welchen Untergrund benötigen Rollcontainer?,Wir bieten Absatz- und Abrollcontainer an. Für beide Containerarten muss ein fester Untergrund sichergestellt sein.,,,,,,,,,,,,,,,,,Habt ihr auch Rollcontainer? Was für einen Untergrund brauchtr man da?,internal_faq,"input: 0, output: 0","input: 0, output: 0","Ich weiß nicht, ob Rollcontainer angeboten werden, aber für die Nutzung eines Rollcontainers sollte der Untergrund eben, befestigt und tragfähig sein."
Kann ich in den Container reingehen?,,internal_faq,Ist der Container begehbar?,"Der Abrollcontainer ist begehbar, der Absetzcontainer jedoch nicht.",,,,,,,,,,,,,,,,,Kann ich in den Container reingehen?,internal_faq,"input: 0, output: 0","input: 0, output: 0",Das Betreten des Containers ist aus Sicherheitsgründen nicht erlaubt.
"Hilfe, ich habe mich vertippt. Statt der Hofstraße 81a habe ich ausversehen die Hofstraße 91a in 15345 Berlin eingegeben. Kann ich die Containerbestellung noch ändern? Bitte melden Sie sich",Adresse,internal_faq,Kann die Adresse bei einer Containerbestellung geändert werden?,Für die Änderung deiner Daten nach der Bestellung kontaktiere bitte den Kundenservice.,,,,,,,,,,,,,,,,,"Hilfe, ich habe mich vertippt. Statt der <ANONYMIZED_LOCATION> 81a habe ich ausversehen die <ANONYMIZED_LOCATION> 91a in 15345 <ANONYMIZED_LOCATION_2> eingegeben. Kann ich die Containerbestellung noch ändern? Bitte melden Sie sich",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Mein Kollege mit der Telefonnumemr 017283947362 hat einen Container bestellt. Diesen brauchen wir aber doch nicht. Wie kann ich stornieren?,Telefonnummer,internal_faq,Wie kann ein Container storniert werden?,"Für die Stornierung oder Widerrufung des bestellten Containers, kontaktiere bitte den Kundenservice.",,,,,,,,,,,,,,,,,Mein Kollege mit der Telefonnumemr <ANONYMIZED_PHONE> hat einen Container bestellt. Diesen brauchen wir aber doch nicht. Wie kann ich stornieren?,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"wnn ich heute anrufe und bestelle, kann ich nächste woche den container haben oder wie lange dauert es?",,internal_faq,Wie lange dauert die Lieferung des Containers,"Die Lieferung unserer Container ist häufig auch sehr kurzfristig möglich.Hier kommt es auf die Verfügbarkeit des jeweiligen Containers in deiner Region an. Wenn du einen Container auswählst, siehst du den frühestmöglichen Anlieferungstag. Solltest du den Behälter dennoch früher benötigen, kontaktiere uns bitte telefonisch.",,,,,,,,,,,,,,,,,"wnn ich heute anrufe und bestelle, kann ich nächste woche den container haben oder wie lange dauert es?",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0","Ja, wenn der gewünschte Container in deiner Region verfügbar ist, kannst du ihn für nächste Woche bestellen, wenn du heute anrufst."
Ich habe ein neues Haus gebaut in der rotkelchenallee 14612 falkensee und brauche einen container. Die einfahrt ist 5m breit und 20m lang. Lkw kommt eigentlich durch. Passt die größe für Anlieferung?,Adrese,internal_faq,Wie groß muss die Einfahrt für einen Container sein?,Die Zufahrt muss min 4m breit und 15m lang sein.,,,,,,,,,,,,,,,,,Ich habe ein neues Haus gebaut in der <ANONYMIZED_LOCATION> 14612 <ANONYMIZED_LOCATION_2> und brauche einen container. Die einfahrt ist 5m breit und 20m lang. Lkw kommt eigentlich durch. Passt die größe für Anlieferung?,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Wann erfolgt die Lieferung, also uhrzeit, ich bin nicht immer zu haus",,internal_faq,Zu welcher Uhrzeit erfolgt die Containerlieferung,"Die Lieferung findet in der Regel in der Zeit von 8:00 - 15:00 Uhr statt. Soll die Anfahrt früher oder später erfolgen, gib das bitte im Bestellprozess mit an und wir prüfen die Möglichkeit.",,,,,,,,,,,,,,,,,"Wann erfolgt die Lieferung, also uhrzeit, ich bin nicht immer zu haus",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Anlieferung soll übermorgen sein, aber ich bin nicht da. Kann die Anlieferung trotzdem erfolgen, obwohl ich nicht vor ort bin? Es geht um den Standort in Braunschweig 25332, Alter Fischerweg 12. Liebe Grüße",Adresse,internal_faq,Muss ich bei der Anlieferung anwesend sein?,"Du musst nicht zwingend bei der Containerlieferung vor Ort sein, solange die Zufahrt für das Fahrzeug gewährleistet ist",,,,,,,,,,,,,,,,,"Anlieferung soll übermorgen sein, aber ich bin nicht da. Kann die Anlieferung trotzdem erfolgen, obwohl ich nicht vor ort bin? Es geht um den Standort in <ANONYMIZED_LOCATION> 25332, <ANONYMIZED_LOCATION_2> 12. Liebe Grüße",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Abend, mein Name ist Henning Polster von der RetroFisch GmbH. Es sieht aus, als ob unsere Papiertonne nächste Woche schon voll ist. Wie kann ich irgendwie ein Leerung zwischendrinnen beuaftrtagen?",Name,internal_faq,Wie kann ich eine Zwischenleerung beauftragen,Für eine Zwischenleerung oder eine vorzeitige Leerung kannst du dich gerne an unseren Kundenservice wenden.,,,,,,,,,,,,,,,,,"Guten Abend, mein Name ist <ANONYMIZED_PERSON> von der RetroFisch GmbH. Es sieht aus, als ob unsere Papiertonne nächste Woche schon voll ist. Wie kann ich irgendwie ein Leerung zwischendrinnen beuaftrtagen?",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Kriegt man Geld wieder wenn der Container nur halb voll ist? Ich weiß nämlich noch nicht wie viel Bauschutt ich aus dem Abriss des Wintergartens rausbekomme. Danke, Peter Neumann",Name,internal_faq,Bekomme ich Geld wieder bei einem halbvollen Container?,"Nein, der Container besitzt einen Pauschalpreis. Es gibt kein Geld zurück",,,,,,,,,,,,,,,,,"Kriegt man Geld wieder wenn der Container nur halb voll ist? Ich weiß nämlich noch nicht wie viel Bauschutt ich aus dem Abriss des <ANONYMIZED_LOCATION> rausbekomme. <ANONYMIZED_PERSON>, <ANONYMIZED_PERSON_2>",internal_faq,"input: 0, output: 0","input: 0, output: 0","Nein, der Pauschalpreis für den Container bleibt gleich, unabhängig davon, ob er voll oder nur halb voll ist."
"Ich soll von meinem Chef fragen, wann der container abgeholt wird",,internal_faq,Wann wird mein Container abgeholt?,Dein Container wird an deinem gewünschten Datum wird abgeholt. Dieses legst du bei der Bestellung fest.,,,,,,,,,,,,,,,,,"Ich soll von meinem Chef fragen, wann der container abgeholt wird",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
