Inhalt;Anonymisierung;Klassifizierung;Generierte Frage/Fragen;Wunschantwort
Hallo, mir ist langweilig. Wollen wir uns ein bisschen unterhalten? Mein Name ist Paul Partrin.;Name;irrelevant_or_smalltalk;;
Sehr geehrte Mitarbeitenden, ich schreibe im Auftrag einer Schule und wir haben eine Menge zu entsorgen. Pappe, CDs und eine Menge Akten. Darf das alles in einen Container? Liebe Grüße, Frau Müller;Name;waste_disposal_guidance;Wo werden Akten entsorgt? Wo werden CDs entsorgt? Wo wird Papier entsorgt?;Papier und Akten können in die Fraktion Aktenentsorgung entsorgt werden. CDs dürfen nicht mit rein und müssen stattdessen in die Fraktion Kunststoff/Verpackungen.
Guten Abend, ich habe meine alte Küche rausgerissen und muss diese nun zusammen mit einem esstisch und Stühlen entsorgen. Welchen Container brauche ich dafür?;;waste_disposal_guidance;Wo wird eine Küche entsorgt? Wo wir ein Esstisch entsorgt? Wo werden Stühle entsorgt?;Alles kann in den Sperrmüll Container.
Nach der Renovierung haven wir circa 500kg Rigipsplatten rasugerissen und ich bin mir unsicher welcher Container der richtige ist. Baumischabfall oder Bauschutt?;;waste_disposal_guidance;Wo werden Rigipsplatten entsorgt?;Rigips darf nur im Baumischabfall entsorgt werden
Moin Moin, ich bin der Nico Müller und habe nach dem letzten Sturm 2m³ gehäckselte Hölzer und Sträucher. Wo genau entsorge ich die?;Name;waste_disposal_guidance;Wo wird gehäckseltes Holz entzsorgt. Wo werden gehäckselte Sträucher entsorgt?;Dafür benötigst du die Fraktion Grünschnitt|Gartenabfälle.
Gertränkedosen, Styropor, Herde, Kühlschränke, Essensverpackungen. WO entsorgen?;;waste_disposal_guidance;Wo werden Getränkedosen entsorgt? Wo wird Styropor entsorgt? Wo werden Herde entsorgt? Wo werden Kühlschränke entsorgt. Wo werden Essensverpackungen entsorgt?;Kühlschränke und Herde gehören in der Fraktion E-Geräte (Großgeräte) entsorgt. Styropor, pfandfreie Getränkedosen und Essensverpackungen gehören in die Fraktion Kunststoff|Verpackungen.
Seit geraumer Zeit möchte ich Aluminiumträger entsorgen, jedoch finde ich mich bei Ihnen nicht zurecht. Was muss ich dafür bestellen?;;waste_disposal_guidance;Wo wird Aluminium entsorgt?;Das weiß ich leider nicht
Hallo ich habe einen Container für Kuinstoff bestellt und habe jetzt noch circa 150kg Schaumstoffplatten in alten Räumen entdeckt. Kann ich die direkt mitentsorgen?;;waste_disposal_guidance;Können Schaumstoffplatten in den Kunststoff Container entsorgt werden?;Nein, Schaumstoff gehört nicht in die Fraktion Kunststoff.
Fliesen 2 Paletten, Ziegel (kaputt) 1m³;;waste_disposal_guidance;Wo werden Fliesen entsorgt? Wo werden Ziegel entsorgt?;Beides gehört in die Fraktion Bauschutt
Nach Entrümpellung circa 500 Bücher und 10 Regale zu entsorgen. Wohin? Liebe grüße;;waste_disposal_guidance;Wo werden Bücher entsorgt? Wo werden Regale entsorgt?;Bücher gehören in den Pappe|Papier Container. Die Regale können im Sperrmüll entsorgt werden.
20 Europaletten, Matratzen, Teppiche;;waste_disposal_guidance;Wo werden Paletten entsorgt? Wo werden Matratzen entsorgt? Wo werden Teppiche entsorgt?;Teppiche und Matratzen gehören in den Sperrmüll. Europaletten können in der Fraktion Holz A1-A3 entsorgt werden.
